,aweme_id,comment_count,digg_count,download_count,share_count,duration,comments
0,7241572653792759082,145,113176,3239,1024,5875,"['the real one: If I fall, they all fall.', 'united we are strong, separated we fall apart', 'They compete, they have fun', 'smnnh bn', 'leg bug', 'mat; left right left right', '1 person can stop cooperation', 'read my name']"
1,7250248848122318126,12032,1280541,42096,130355,6315,"['That meow at the end had anger', 'HAVE', 'MEOW', 'The meow at the end he was like MEAW', 'how comfortable is that couch ?', 'me be like', 'That meow at the end', ""It's just true cats are so random sometimes"", ""Nathan don't you do it MEOW"", ""the last meow has me sent I can't breathe""]"
2,7249461775173766443,42594,11814896,8217,2034298,5084,"['He said oh yeah ight', 'TALK TO HIM NICELY', 'Pov: my mom when I had to help her fix sth', 'You apologize to him right now! Hes doing his best! Lol.', 'Cat went: Oh my bad homie', 'pov my dad when i have flashlight', 'He cannot work under this pressure', ""He's gonna talk about this in therapy one day"", 'Aziz light', 'Me and my mom when we try something alone']"
3,7252393384923401515,33492,9309351,611265,253392,67073,"['Am i the only one who watch all the video', 'pov: your singing in your head', 'the fact I still know the lyrics to this after not listening to it for 7 yrs', 'Not me singing along with it', ""Doesn't it happen to them that while they listen to these videos they get hooked and sing it?"", 'Justin Bieber', 'because i have seen it all', ""I don't know about you but it's relaxing"", 'I love that I respect the times, be silent of the song', 'wow!']"
4,7238721690073615659,4612,391017,1877,6936,7067,"['omg', 'Tallest couple on earth', ""im not that tall when im with my younger brother dj ( he is 16'0 )"", 'Dude am 54', ""I'm 190 cm and felt tall.. not anymore"", 'So you prefer tall guys, right?', 'Its hard to tell the height when the camera is in a weird position or the camera is set to a weird function', 'Her brother has zero facial expressions', 'You Said you were 6 foot 3 like 5 months ago', ""he's 6,8 and plays for gm""]"
5,7251211991409315115,48,14880,240,737,77230,"['this will definitely put me in a coffin', '@Bogdan IBMFamily definitely tries with @Danu Vlogs', 'The magic stairs', 'hands down the funniest', 'early', 'hi am spedirmen', 'OMG', '@cai tr0p bon']"
6,7222740289390169387,1650,749911,6796,5414,26865,"['I love it', 'please horror', 'I love this so much', 'aaand now i cant sleep', 'glitch pls', 'So satisfying', 'Pizza', 'creative', 'ASMR', 'anime']"
7,7246773564232207659,1451,295084,34932,32223,5875,"['R.I.P.', 'grandma says she did this more often when was young', 'Sauce?', 'grandma woke up and decided to choose violence', 'super man', 'sooooo baoooo', 'me wwn i go ultra instinct', ""y'all speak emoji or sum"", 'my grand mother', 'babushka aint afraid of nothing']"
8,7248883883897376043,70548,6951992,315266,809670,10867,"[""bro didn't get picked to defend Dave so now his getting sturdy"", 'you you you you you you!', 'blud go back to your work and defend dave', 'ayoooooo that 100 sun got him geeking', 'w song', 'My honest reaction:', ""in 3 hours the guy has 200k I like it, it's deserved"", 'The clergy', 'my plant vs zombie prfr c le gw2', 'Me in a plant vs zombie level behind my screen']"
9,7250328864004656392,2595,1184969,1271,44544,24635,"[""I also use CollaNote for regular note-taking. It's great for university."", 'I have android', '@+ wie clean', 'Which iPad is that', 'hi what ipad is that', 'Notability is almost the same as Good notes and Free', 'is there collanote on samsung??', ""can't find colla note"", 'step one: get an ipad', 'Another reason i want an ipad']"
